hash,purity,mistral,gemma,deepseek
0011daa934f9397a0dd77ef368b86d2adbe8b239,false,floss,floss,failed
00159507fdead0eff8e7c2b62e17d8257b4313a6,none,floss,pure,failed
0026e4eeec23367c74c44b23a9586562b939f6f8,false,floss,floss,failed
003e400b6f9d3d35d264a4aaa6e665ff7a9c237b,false,floss,floss,failed
0040fea3797ea3e497691e9d1e2660711c60ac4d,false,failed,floss,floss
00436c08bfe682b727c77c1d734c3c73a78a9590,true,floss,floss,floss
0051a7f17bd2027575c13dac3ace653ecb2513eb,false,floss,floss,failed
0063c1adcf32a04611f9bdfb94c893c7a2222b5f,false,floss,floss,failed
0065d40a4ee9d8c499699cf6696f1a2ac7a393f4,false,floss,floss,failed
006be00803a23b274c9ec073d1352e93c38bd33b,false,failed,floss,failed
007a13d0e9bc1d45cb9cad4559a919c60483c5d1,none,floss,failed,failed
0087a5b5ed488b892a218aacc94210fc7e7297a3,none,failed,floss,failed
008bf8607c55926d0aadb4602a8a854d396c7657,false,floss,floss,failed
00988e2da64dbc61319023ecc3c61fb09d4223bb,none,failed,floss,failed
009e17f47fa3e79e2ee03d1ad952571fd29693d3,none,floss,floss,failed
009f536772a2cd771755e6a31d5e56a30d0a6358,true,floss,floss,floss
00b15a44c61f88da69670b6f2f1357736eb8776e,true,floss,floss,failed
00b4289c839804ac32d49d9b91a99490247da3cb,false,floss,floss,failed
00b8c1a39d75c1b4626dc987bd1a51cfaf7c9be1,none,failed,floss,failed
00bc7fcd0df7f13cfa0df8985889240dfd3728fe,none,floss,floss,failed
00d8ef6e2d2723ce5988d62435df1fd914b433a1,none,floss,pure,failed
0106db25694a7604c6a36c6fe4e4ef282059d75e,none,failed,floss,failed
010e4ac16664f5cee57402269c28d7b764580d60,none,floss,floss,failed
0118f33f46462efb02a3439c9d189714f8345449,false,failed,floss,failed
01263733de032973fbb79cb340a19d62eff5b110,false,failed,floss,failed
013a98179a7e0a466c7f44f4c0e22ea3e9806d04,false,floss,floss,failed
0148d1031a6779d2a9e8980f80d2e7a0c4d9900a,false,floss,floss,failed
014a1c7899502ec6a515acde4d285505b0c70788,true,floss,floss,floss
015c2e1364cd285471981a9ce3c47bbeed60eb38,none,floss,floss,failed
015c94c60313cbad00336f8ed14f922cb315f9eb,none,floss,floss,failed
016068ab27cd6735309e44837b09d77a2387d4c2,false,floss,floss,failed
01883da5fc68b6570fac934fbfe5e5340b5b98de,none,floss,floss,floss
01951810ae1b3a0e4fefab7d55c090fc8f776ce5,none,floss,floss,floss
019d77f3750a472b9a95c5cc7f5125525d460e6f,none,floss,floss,floss
01a0657ecfc2509cbe61491d63c2381c5863592b,false,failed,floss,floss
01a11fd2626d57bf0c8d0bce1e43060017592896,true,floss,floss,failed
01b12794980eed7443a5a4c403e1280cac4cd857,false,floss,floss,floss
01b1bff2d5c24c5a7599f4e02b06e206a43045d9,none,floss,floss,floss
01b8b8381de431147cfb6851748f6198ba817e8f,false,failed,floss,failed
01bbce6952dc54e38ddf3c986cb5190b082e0b94,none,floss,floss,failed
01bc4f475f5e0df2bce591d82872f5951029b6df,none,floss,floss,floss
01cb9121acf296c6205a88106c2f3495602d4e6e,true,floss,floss,floss
01d6f5f24f246e1fb27e8e9fbe920e7a752349b6,false,floss,floss,floss
01e0c99c58be90c1465f48b4fd169dc7495ad649,none,floss,floss,floss
01fa802dd723ea261f4cdff3ad8aa0294bb039dc,none,floss,floss,floss
020bde0d66344623150ef57562523f514d011f70,true,floss,floss,floss
021ec71be5c32788347cee077034df690a279a34,none,failed,floss,floss
02243165f1d9bb47c428921d99bcf16e8a944cfe,true,floss,floss,pure
0225c9c888637f136b162435ecfddacf7ad33a7c,true,floss,floss,pure
0230f8772d6fa33db0843df36a6119ade574c636,none,failed,floss,floss
023ca1c6968b7165405028215847dfe6af06064a,none,floss,floss,floss
0251a8f0f66055960c2dc5502b6496313bf074f3,none,floss,floss,floss
02678b307325a5bfd8bc4329e48a21f7639a7414,false,floss,floss,floss
0267900f9fbe0170314767269cfc4db69d6b2d85,none,failed,floss,floss
0282b9adc629dae2f5f1675d51234722d3c23a85,none,floss,floss,floss
0286c24fbffe91417b80a58547984adea3924403,false,floss,floss,failed
029ae0bd99b59fbe3a58bbd38a078ee58232d719,none,failed,floss,failed
029b15fa16559165a7000bbfdfb1299b7feab8f1,none,floss,floss,failed
02a3d737ac169506e6dec3b0c43d8d81c47136bc,none,floss,floss,floss
02a7acf8bf23e65bd53fe75bca85c41c6a4cb2cc,none,failed,floss,floss
02b1e4ae35e771ed8a6b7e6472e1847e20439453,none,failed,floss,floss
02b99aeeddaa8208324e4703feb7fec1f9f6e75a,false,floss,floss,floss
02c1f109aade3d4013821a6b2f3c727d134bfa99,none,failed,floss,failed
02c415543efe98d85c7629582e91d9faf3473acc,false,failed,floss,failed
02c6d6540c6ab108b763a639146e74e9f8d0dd40,false,floss,floss,failed
02ea4afe2d28f6e2d1a9711cb57d13a158f334d0,none,failed,floss,failed
02f34bd51beb02600b5957e61d8c351bf85571f0,none,failed,floss,pure
02f5119470d5181b111acdd1735e45093de33533,none,floss,floss,floss
031ca83e762852168078be1d39382ed144cb635a,none,floss,floss,pure
032b476c522e7d78c244b6a132027197b7434a08,none,floss,floss,floss
035b37a601cbdfc60e9517a9504078d6ae122824,none,floss,floss,floss
0368e97ee4a807cb832a90c590ae5c65a98730c1,false,floss,floss,floss
0375f8318a4e5318af66ef67d025967b5299c5e2,none,pure,floss,failed
0379201c7057f6bac4abf1e0f3d81a12d90abd08,false,floss,floss,floss
038924037bbaae4a62fb167e5ce7ae9e34a129fc,none,failed,floss,floss
039da2374bcbe10d7dee890cb6b1489e9073be60,false,floss,floss,failed
03c0e143fcffc0a1ef2d7a4d9c5f82af4053e761,true,floss,floss,pure
03d74581bf226498108b29ce9712128d90ae5711,false,floss,floss,floss
03d7b51d3c927207e5b203d8f4fb2a9a9a7e7799,true,pure,floss,floss
03e2f5fb6c1a82f49da6576cdaff26cf1922aa7f,true,floss,floss,floss
03e329bede79b7ef9647a99219c2cbae45857860,none,floss,floss,floss
03f5cd2f0a6bd0ce04c37d380c87c538de76c7a4,none,failed,floss,floss
03f72acd546407c7f9de2a976de31dcd565dba9a,false,floss,floss,floss
03fc26d8c8f079c3bf0376147d18afdeebbbefbf,none,failed,pure,floss
0414e27714bfb2fc49d8208e834dd0d184bd3469,none,failed,floss,floss
04150edaa58736ba572e3614b5c256a441a181c6,none,floss,pure,floss
0428aa849ad40e1a90dc841e595122664efc0f62,none,floss,floss,floss
0431989116035a7126a63d19a8a5c7ae6d6c1616,none,floss,floss,floss
043ce2af5d6da3989c1eb0a655f139001bd7364f,none,failed,floss,floss
044fc0a15ec2fa326ee8cf0c6a4271d16a3ba687,false,failed,floss,floss
045251f9c175014ebc1ad7e9cc68f7632c5f38bc,false,floss,floss,failed
045b3ac05d3933d83796aadb1e988c70d76e86f8,none,floss,floss,failed
045c3cee6ce6dfe5b027436c4ec0f240f1b8ae50,none,pure,floss,pure
04639bf1cf1ff708a51c0958621926ca53002c63,false,failed,floss,floss
047bcd7ad171d6a4aa89128c5e6c6ed5f012b1c0,false,floss,floss,floss
04874186892c86a20181a2f64c5dc24285021b2c,false,floss,floss,floss
048942a8c710ec9a7f81258d1a5948122df00ee6,none,floss,floss,failed
0497b5a4bf437d8692486230753fa97b6ddfc097,none,failed,floss,failed
049ac4f14f2bd8f17bb67ceabefaefdffe1fff9f,none,floss,floss,floss
049e482780b9b7082e37e1a7b99e8cdcf453a00f,false,floss,floss,floss
04a2c2420b086036e4b7cc585ac507b0b9bc9558,false,floss,floss,floss
04aa35bb2939a81b8171633287c40c314ec00b20,none,floss,floss,floss
04bcf9e7a7cb1dfbd1e360522c9301e986753310,false,floss,floss,failed
04be7366fcf1b8edeb3495adcf37a171aa188d5c,false,failed,floss,failed
04c0b8143e90d5470823fc35ed1ff5f83371ed72,false,floss,floss,failed
04c92a39150a501a4531c77358565a85db9ef47f,none,floss,floss,floss
