hash,purity,mistral,gemma,deepseek
00436c08bfe682b727c77c1d734c3c73a78a9590,true,floss,floss,floss
009f536772a2cd771755e6a31d5e56a30d0a6358,true,floss,floss,floss
014a1c7899502ec6a515acde4d285505b0c70788,true,floss,floss,floss
01b12794980eed7443a5a4c403e1280cac4cd857,false,floss,floss,floss
01cb9121acf296c6205a88106c2f3495602d4e6e,true,floss,floss,floss
01d6f5f24f246e1fb27e8e9fbe920e7a752349b6,false,floss,floss,floss
020bde0d66344623150ef57562523f514d011f70,true,floss,floss,floss
02243165f1d9bb47c428921d99bcf16e8a944cfe,true,floss,floss,pure
0225c9c888637f136b162435ecfddacf7ad33a7c,true,floss,floss,pure
02678b307325a5bfd8bc4329e48a21f7639a7414,false,floss,floss,floss
02b99aeeddaa8208324e4703feb7fec1f9f6e75a,false,floss,floss,floss
0368e97ee4a807cb832a90c590ae5c65a98730c1,false,floss,floss,floss
0379201c7057f6bac4abf1e0f3d81a12d90abd08,false,floss,floss,floss
03c0e143fcffc0a1ef2d7a4d9c5f82af4053e761,true,floss,floss,pure
03d74581bf226498108b29ce9712128d90ae5711,false,floss,floss,floss
03d7b51d3c927207e5b203d8f4fb2a9a9a7e7799,true,pure,floss,floss
03e2f5fb6c1a82f49da6576cdaff26cf1922aa7f,true,floss,floss,floss
03f72acd546407c7f9de2a976de31dcd565dba9a,false,floss,floss,floss
047bcd7ad171d6a4aa89128c5e6c6ed5f012b1c0,false,floss,floss,floss
04874186892c86a20181a2f64c5dc24285021b2c,false,floss,floss,floss
049e482780b9b7082e37e1a7b99e8cdcf453a00f,false,floss,floss,floss
04a2c2420b086036e4b7cc585ac507b0b9bc9558,false,floss,floss,floss
04ead9a56520d24008f1cd1a3057d75fb44411ae,false,floss,floss,floss
050d07919477023eed4c6d017a0bbe3fd5f1c928,false,floss,floss,floss
054404ba43d2e673adbd3da0317ed17b5c91701e,false,floss,pure,floss
055a98ebf1d9e9fa8cc349024c94384d715fcfb3,true,floss,pure,floss
055cabc36c56faeb27158db9f0bd51275787cb7a,false,pure,floss,floss
057aadfd7cdf2eb7bb8c0d008c1579d8d36dffb8,true,pure,pure,floss
058a4044d614a7bed2db9412a118fba3142f322b,false,floss,floss,floss
058a6ac0e444512f7306097a2f8302690629c2ee,false,floss,floss,floss
058ed513495b219e3615b0639d1ed8ea6aa1f447,true,floss,floss,floss
05d8ffdabb60d85d41ff943c3703ebe234817cc6,true,floss,floss,floss
05e14fc6b81918a5e581940f119246c828d50a65,false,pure,floss,pure
05fdbfeff89736a3f16ad52d04383ebc03d23bfe,true,pure,pure,floss
0630f46897f6408432cb37c9ff8ca1e053a40bc0,true,floss,floss,pure
063dd2ad03e30263b45167615cddb69dd9189584,false,floss,floss,floss
067198e145e9558675689c84043ad7ab00c39d1b,false,floss,floss,floss
0685ccdda0dc1ff27b8503867b11fe22cbf64519,true,pure,floss,floss
06960d752ab6748ee87ac6743f0d34004e73468a,true,floss,pure,pure
06a2ce5865338c8f889f6543892a437be0ae2f0e,false,floss,floss,floss
06b792a8b54a8a25477fbe8da0a9b1be274be344,true,floss,floss,pure
06c130e3cb85577041b475084400c08c505d8f9e,false,floss,floss,floss
